,EXERCÍCIO,NOME FUNÇÃO,NOME SUBFUNÇÃO,ORÇAMENTO REALIZADO (R$)
4127,2014,Educação,Ensino profissional,383859.79
4132,2014,Educação,Ensino profissional,265715.65
4135,2014,Educação,Ensino profissional,9390.0
4136,2014,Educação,Ensino profissional,142.0
4146,2014,Educação,Ensino profissional,13616.8
4150,2014,Educação,Assistência hospitalar e ambulatorial,295729.62
4179,2014,Educação,Ensino superior,125366.0
4180,2014,Educação,Ensino superior,38086.15
4181,2014,Educação,Ensino superior,51390.0
4188,2014,Educação,Ensino superior,19965.0
4193,2014,Educação,Ensino superior,11742.0
4195,2014,Educação,Ensino superior,36020.53
4198,2014,Educação,Ensino superior,325094.93
4475,2014,Educação,Serviços financeiros,399001.03
4482,2014,Educação,Ensino profissional,49948.54
4490,2014,Educação,Ensino superior,2000.0
4495,2014,Educação,Atenção básica,326691.66
4499,2014,Educação,Ensino profissional,404589.02
4500,2014,Educação,Ensino profissional,60634.6
4503,2014,Educação,Ensino profissional,258723.81
4508,2014,Educação,Ensino superior,277252.82
4510,2014,Educação,Ensino superior,138774.19
4513,2014,Educação,Ensino superior,29082.0
4515,2014,Educação,Ensino superior,179960.48
4518,2014,Educação,Ensino superior,31282.41
4519,2014,Educação,Atenção básica,16995.85
4520,2014,Educação,Ensino superior,175195.51
4523,2014,Educação,Ensino profissional,350722.81
4527,2014,Educação,Ensino profissional,119043.04
4531,2014,Educação,Ensino superior,45333.34
4532,2014,Educação,Ensino superior,18154.35
4534,2014,Educação,Ensino superior,60508.47
4538,2014,Educação,Ensino superior,113050.0
4539,2014,Educação,Ensino profissional,370440.66
4541,2014,Educação,Atenção básica,133679.01
4542,2014,Educação,Atenção básica,1973.0
4544,2014,Educação,Atenção básica,29868.63
4546,2014,Educação,Ensino superior,351460.14
4547,2014,Educação,Ensino superior,8840.25
4548,2014,Educação,Ensino superior,249639.7
4550,2014,Educação,Ensino superior,45244.89
4551,2014,Educação,Ensino superior,28604.55
4553,2014,Educação,Ensino profissional,1170.8
4557,2014,Educação,Ensino superior,1381.19
4558,2014,Educação,Ensino superior,223058.1
4561,2014,Educação,Ensino superior,133467.33
4562,2014,Educação,Ensino profissional,20964.42
4563,2014,Educação,Ensino profissional,418522.51
4565,2014,Educação,Ensino profissional,87160.81
4567,2014,Educação,Ensino superior,226958.13
4573,2014,Educação,Atenção básica,154984.54
4579,2014,Educação,Ensino superior,85396.48
4580,2014,Educação,Ensino superior,38163.89
4581,2014,Educação,Ensino superior,22196.0
4587,2014,Educação,Ensino superior,86749.96
4591,2014,Educação,Ensino superior,321403.96
4594,2014,Educação,Ensino superior,227460.4
4598,2014,Educação,Atenção básica,19813.3
4599,2014,Educação,Ensino profissional,6530.78
4600,2014,Educação,Ensino profissional,167767.68
4601,2014,Educação,Ensino profissional,23350.31
4603,2014,Educação,Ensino profissional,36723.85
4610,2014,Educação,Ensino profissional,14051.51
4613,2014,Educação,Ensino superior,5000.0
4615,2014,Educação,Atenção básica,150.0
4619,2014,Educação,Ensino superior,10398.78
4620,2014,Educação,Ensino superior,477.0
4626,2014,Educação,Ensino profissional,594796.65
4628,2014,Educação,Ensino profissional,104081.72
4629,2014,Educação,Ensino profissional,423430.85
4630,2014,Educação,Ensino profissional,9417.91
4632,2014,Educação,Atenção básica,55704.88
4633,2014,Educação,Ensino profissional,147632.53
4636,2014,Educação,Ensino profissional,194677.91
4640,2014,Educação,Ensino profissional,91342.64
4644,2014,Educação,Ensino profissional,72236.86
4645,2014,Educação,Atenção básica,590.32
4647,2014,Educação,Ensino profissional,131040.94
4650,2014,Educação,Ensino profissional,99160.88
4651,2014,Educação,Atenção básica,60489.17
4652,2014,Educação,Atenção básica,44335.66
4654,2014,Educação,Atenção básica,456663.27
4660,2014,Educação,Ensino superior,145951.57
4661,2014,Educação,Ensino superior,500000.0
4663,2014,Educação,Ensino superior,69690.72
4664,2014,Educação,Ensino superior,106025.63
4665,2014,Educação,Ensino superior,5901.92
4668,2014,Educação,Ensino superior,3261.36
4669,2014,Educação,Ensino superior,163700.0
